Aeroporto Anaa, Anaa, Polinésia Francesa
Aeroporto Cedar City, Cedar City, Estados Unidos
Aeroporto Charles De Gaulle, Paris, França
Aeroporto Conceicao Do Araguaia, Conceicao do Araguaia, Brasil
Cidade do México, México D.F., México
Aeroporto Cradock, Cradock, África do Sul
Aeroporto Cuddapah, Cuddapah, Índia
Aeroporto Croydon, Croydon, Reino Unido
Aeroporto Chadron, Chadron, Estados Unidos
Aeroporto Camden, Camden, Austrália
Aeroporto Mudhole Smith, Cordova, Estados Unidos
Aeroporto Caldwell Wright, Caldwell, Estados Unidos
Aeroporto Cagayan De Sulu, Cagayan de Sulu, Filipinas
Jericoacoara, Ceará, Brasil
Cumbuco, Ceará, Brasil
Canoa Quebrada, Ceará, Brasil
Juazeiro do Norte, Ceará, Brasil
Fortaleza, Ceará, Brasil
Beberibe, Ceará, Brasil
Aquiraz, Ceará, Brasil
Aracati, Ceará, Brasil
Cebu, Central Visayas, Filipinas
Rio Ceballos, Córdoba, Argentina
Cebollar, La Rioja, Argentina
Santa Cecilia, Santa Catarina, Brasil
Santa Cecilia, Beni, Bolívia
Santa Cecilia do Sul, Rio Grande do Sul, Brasil
Cedar Key, Flórida, Estados Unidos
Cedro, Ceará, Brasil
Cedral, San Luis Potosí, México
Sao Jose do Cedro, Santa Catarina, Brasil
Cedar City, Utah, Estados Unidos
Ceduna, South Australia, Austrália
Cedar Rapids, Iowa, Estados Unidos
Ceglie Messapica, Puglia, Itália
Aeroporto Chelinda, Chelinda, Malauí
Ceilandia, Distrito Federal, Brasil
Ceibas, Entre Rios, Argentina
La Ceiba, Atlantida, Honduras
Aeroporto Chernigov, Chernihiv, Ucrânia
Aeroporto Chelyabinsk, Chelyabinsk, Rússia
Governador Celso Ramos, Santa Catarina, Brasil
Celemania, Coahuila de Zaragoza, México
Juárez Celman, Córdoba, Argentina
Celorico da Beira, Guarda, Portugal
Pedro Gómez Cello, Santa Fe, Argentina
Colonia Cello, Santa Fe, Argentina
Naha, Celebes do Norte, Indonésia
Celaya, Guanajuato, México
Aeroporto Central, Central, Estados Unidos
Tours, Region Centre, França
Tolosa, Midi-Pyrénées, França
Central, Alasca, Estados Unidos
Centen ario, Rio Grande do Sul, Brasil
Assunção, Central, Paraguai
Center Island, Washington, Estados Unidos
El Centro / Imperial, Califórnia, Estados Unidos
Central, Bahia, Brasil
Aeroporto Waco Kungo, Waco Kungo, Angola
Cepu, Central Java, Indonésia
Olbia, Sardegna, Itália
Ceres, Santa Fe, Argentina
Cerano, Guanajuato, México
Cereales, La Pampa, Argentina
Cerler, Aragon, Espanha
Cerquilho, São Paulo, Brasil
Cerdeña, Itália
Algueiro, Sardegna, Itália
La Cesira, Córdoba, Argentina
Grand Cess, Grand Kru, Libéria
River Cess, Libéria
San Juan del Cesar, La Guajira, Colômbia
Cesky Krumlov, Jihocesky kraj, República Checa
Cessnock, Nova Gales do Sul, Austrália
Cessna Aircraft Field, Austrália
Cesário Lange, São Paulo, Brasil
Aeroporto Le Pontreau, Cholet, França
Ceuta, Ceuta, Espanha
Chapadão do Céu, Goiás, Brasil
Ceu Azul, Parana, Brasil
Aeroporto Montezuma County, Cortez, Estados Unidos
Aeroporto Coffee Point, Coffee Point, Estados Unidos
Aeroporto Cabo Frio, Cabo Frio, Brasil
Aeroporto Cacador, Florianópolis, Brasil
Aeroporto Internacional Clermont/Ferrand Auvergne (Aulnat), Clermont-Ferrand, França
Aeroporto Internacional Cienfuegos Jaime Gonzalez, Cienfuegos, Cuba
Aeroporto Clifton Hills, Clifton Hills, Austrália
Aeroporto Camfield, Camfield, Austrália
Aeroporto Donegal, Carrickfinn, Irlanda
Aeroporto Confreza, Confreza, Brasil
Aeroporto Carpentaria Downs, Carpentaria Downs, Austrália
Aeroporto Carpiquet, Caen, França
Aeroporto Coffs Harbour, Coffs Harbour, Austrália
Aeroporto Ioannis Kapodistrias, Corfu, Grécia
Aeroporto Craig SPB, Craig, Estados Unidos
Aeroporto Intl. Airpt. Marechal Rondon, Cuiabá, Brasil
Aeroporto Cape Gloucester, Cape Gloucester, Papua-Nova Guiné
Aeroporto Changde, Changde, República Popular da China
Aeroporto Casiguran, Casiguran, Filipinas
Aeroporto Internacional Congonhas, São Paulo, Brasil
Aeroporto Cape Girardeau, Cape Girardeau, Estados Unidos
Aeroporto Chingola, Chingola, Zâmbia
Aeroporto Internacional Soekarno-Hatta, Jakarta, Indonésia
Aeroporto Mambajao, Camiguin, Filipinas
Aeroporto Cologne/bonn, Colônia, Alemanha
Aeroporto Zhengzhou, Zhengzhou, República Popular da China
Aeroporto Patenga, Chittagong, Bangladesh
Aeroporto Changchun, Changchun, República Popular da China
Aeroporto Intl. Campo Grande, Campo Grande, Brasil
Aeroporto Chinguitti, Chinguitti, Mauritânia
Aeroporto Caiguna, Caiguma, Austrália
Aeroporto Cagayan De Oro Domestic, Cagayan de Oro, Filipinas
Chapada dos Guimarães, Mato Grosso, Brasil
Alter do Chão, Pará, Brasil
Chapecó, Santa Catarina, Brasil
Chapada Diamantina, Bahia, Brasil
El Chaltén, Santa Cruz, Argentina
Charm el-Cheikh, Muhafazat Janub Sina, Egito
Chania, Crete, Grécia
Chapada dos Veadeiros, Goiás, Brasil
Aeroporto Chilas, Chilas, Paquistão
Aeroporto Internacional Christchurch, Christchurch, Nova Zelândia
Praga, Hlavni mesto Praha, República Checa
Chester, Inglaterra, Reino Unido
Cheran, Michoacão, México
Charm el-Cheikh, Muhafazat Janub Sina, Egito
Cherbourg, França
Chepes, La Rioja, Argentina
Chevak, Alasca, Estados Unidos
Chengdu, Sichuan Sheng, República Popular da China
Aeroporto Jinhae, Chinhae, República da Coréia
Aeroporto Chaoyang, Chaoyang, República Popular da China
Kompong-Chhnang, Camboja
Bilaspur, Chhattisgarh, Índia
Jagdalpur, Chhattisgarh, Índia
Raipur, Chhattisgarh, Índia
Santiago, Santiago, Chile
San Pedro de Atacama, Antofagasta, Chile
Chiang Mai, Tailândia
Chile Chico, Aysén, Chile
Boca Chica, Santo Domingo, República Dominicana
Vina del Mar, Região de Valparaíso, Chile
Chicago, Ilinóis, Estados Unidos
Chillan, Ñuble, Chile
Aeroporto Chimbote, Chimbote, Peru
Aeroporto Jeonju, Chonju, República da Coréia
Choele Choel, Rio Negro, Argentina
Cholet, França
Cholula, Puebla, México
Choiqué, Buenos Aires, Argentina
Chosmes, San Luis, Argentina
Chomley, Alasca, Estados Unidos
Chonju, Jeollabuk-do, República da Coréia
Chomu, Rajasthan, Índia
Aeroporto Souda, Chania, Grécia
Christmas Creek, Austrália
Christmas Island, Austrália
Ayia Marina Chrysochous, Eparchia Pafou, Chipre
Corpus Christi, Texas, Estados Unidos
Christmas Island, Kiribati
Christchurch, Canterbury, Nova Zelândia
St Christoph, Tirol, Áustria
Christiansted, Ilhas Virgens dos EUA
Aeroporto Charleston, AFB Municipal, Charleston, Estados Unidos
Aeroporto Karewa, Chatham Island, Nova Zelândia
Chui, Rio Grande do Sul, Brasil
Chur, Kanton Graubunden, Suíça
Chub Cay, Bahamas
Chucul, Córdoba, Argentina
Hsin Chu, Taiwan
Chumbicha, Catamarca, Argentina
Churchill, Manitoba, Canadá
Puerto Madryn, Chubut, Argentina
Aeroporto Chaves, Chaves, Portugal
Aeroporto Jiuhuang, Jinquan, República Popular da China
Aeroporto Changuinola, Changuinola, Panamá
Aeroporto Choiseul Bay, Choiseul Bay, Ilhas Salomão
Cianorte, Parana, Brasil
Aeroporto Internacional Cibao, Santiago, República Dominicana
Cicero Dantas, Bahia, Brasil
Cicia, Fiji
Cidade do Cabo, the Western Cape, África do Sul
Cidade do México, México D.F., México
Maputo, Cidade de Maputo, Moçambique
Cidade do Panamá, Panamá, Panamá
Cid Harbour, Austrália
Cidade de Goias, Goiás, Brasil
Cidade de Ho Chi Minh, Thanh pho Ho Chi Minh, Vietname
Cien Rosas, Cienfuegos, Cuba
Cienfuegos, Cienfuegos, Cuba
Cienega de Flores, Nuevo León, México
Ciego de Avila, Ciego de Avila, Cuba
Cierzac, Poitou-Charentes, França
Saint-Ciers-de-Canesse, Aquitânia, França
El Ciego, Camaguey, Cuba
Camilo Cienfuegos Uno, Matanzas, Cuba
Cifuentes, Villa Clara, Cuba
Aeroporto Cigli Military Arpt, Izmir, Turquia
Cihuatlan, Jalisco, México
Aeroporto Capitan Anibal Arab, Cobija, Bolívia
Aeroporto Chalkyitsik, Chalkyitsik, Estados Unidos
Cilacap, Indonésia
Cimitarra, Santander, Colômbia
Cingapura, Singapura
Cincinnati, Ohio, Estados Unidos
Cinco Saltos, Rio Negro, Argentina
Serra do Cipo, Minas Gerais, Brasil
Parque Nacional da Serra do Cipó, Minas Gerais, Brasil
San Cipriano, Valle del Cauca, Colômbia
Sao Pedro da Cipa, Mato Grosso, Brasil
Cipolletti, Rio Negro, Argentina
Cirebon, Jawa Barat, Indonésia
Ciro Redondo, Ciego de Avila, Cuba
Circle, Alasca, Estados Unidos
Circle Hot Springs, Alasca, Estados Unidos
La Cisterniga, Castela e Leão, Espanha
Cidade do México, México D.F., México
Sun City, North-West, África do Sul
Kansas City, Missouri, Estados Unidos
Daly City, Califórnia, Estados Unidos
Cidade do Panamá, Panamá, Panamá
Jersey City, Nova Jersey, Estados Unidos
Park City, Utah, Estados Unidos
Salt Lake City, Utah, Estados Unidos
Buenos Aires, Ciudad de Buenos Aires, Argentina
Ciudad Real, Castilla-La Mancha, Espanha
Ciudad del Carmen, Campeche, México
Ciudad Mante, Tamaulipas, México
Cidade do Cabo, the Western Cape, África do Sul
Cidade do México, México D.F., México
Ciudad del Este, Alto Parana, Paraguai
Cidade de Goias, Goiás, Brasil
Civitavecchia, Lácio, Itália
Aeroporto Canouan Island, Canouan Island, São Vincente e Granadinas
Aeroporto Internacional de Capitán FAP José A. Quiñones, Chiclayo, Peru
Aeroporto Comiso, Comiso, Itália
Aeroporto Coari, Coari, Brasil
Aeroporto Cajamarca, Cajamarca, Peru
Aeroporto Peelamedu, Coimbatore, Índia
Aeroporto El Loa, Calama, Chile
Aeroporto Cheongju, Cheongju, República da Coréia
Aeroporto Chitral, Chitral, Paquistão
Aeroporto Internacional Abraham Gonzalez, Ciudad Juarez, México
Aeroporto Jeju, Jeju, República da Coréia
Aeroporto Benedum, Clarksburg, Estados Unidos
Aeroporto Cherkassy, Cherkasy, Ucrânia
Aeroporto Crooked Creek, Crooked Creek, Estados Unidos
Aeroporto Internacional Chongqing Jiangbei, Chongqing, República Popular da China
Aeroporto Croker Island, Croker Island, Austrália
Aeroporto Carajas, Carajás, Brasil
Aeroporto Chicken, Chicken, Estados Unidos
Aeroporto Conakry, Conakry, Guiné
Aeroporto Canakkale, Canakkale, Turquia
Montes Claros, Minas Gerais, Brasil
Rio Claro, São Paulo, Brasil
Ribeirão Claro, Parana, Brasil
Clara, Entre Rios, Argentina
Santa Clara, Villa Clara, Cuba
Clayton, Novo México, Estados Unidos
Rio Claro, Rio de Janeiro, Brasil
La Clarita, Entre Rios, Argentina
Aeroporto Castlebar, Castlebar, Irlanda
Aeroporto Mc Clellan-Palomar, San Diego, Estados Unidos
Clearwater, Flórida, Estados Unidos
Clemson, Carolina do Sul, Estados Unidos
Cleve, South Australia, Austrália
Clermont, Austrália
Clewiston, Flórida, Estados Unidos
Clear Lake, Califórnia, Estados Unidos
Clerques, Region Nord-Pas-de-Calais, França
Cleveland, Ohio, Estados Unidos
Aeroporto Coolah, Coolah, Austrália
Clinton, Indiana, Estados Unidos
Clifton / Morenci, Arizona, Estados Unidos
Clifton Hills, Austrália
Clichy, Ile-de-France, França
Clinton, Texas, Estados Unidos
Clintonville, Wisconsin, Estados Unidos
Port Clinton, Ohio, Estados Unidos
Clinton Creek, Canadá
Aeroporto Internacional Cluj Napoca, Cluj Napoca, Roménia
Aeroporto Easterwood Field, College Station, Estados Unidos
Aeroporto Fairchild Intl, Port Angeles, Estados Unidos
Aeroporto Carolina, Carolina, Brasil
Saint Cloud, Minnesota, Estados Unidos
Clovis, Novo México, Estados Unidos
La Clotilde, Chaco, Argentina
Cloncurry, Austrália
Clodomira, Santiago del Estero, Argentina
Clorinda, Formosa, Argentina
Aeroporto Clarks Point, Clarks Point, Estados Unidos
Aeroporto Colima, Colima, México
Aeroporto Charlotte Douglas, Charlotte, Estados Unidos
Cluj Napoca, Roménia
Club Salinitas, Sonsonate, El Salvador
Club Mediterraneo, Quintana Roo, México
Clucellas, Santa Fe, Argentina
Cluny, Borgonha, França
Valea Draganului, Judetul Cluj, Roménia
Country Club, Flórida, Estados Unidos
Aeroporto Caldas Novas, Caldas Novas, Brasil
Clyde River, Canadá
Aeroporto Cunnamulla, Cunnamulla, Austrália
Aeroporto Bandaranayake, Colombo, Sri Lanka
Aeroporto Cootamundra, Cootamundra, Austrália
Aeroporto Ciudad Del Carmen, Ciudad del Carmen, México
Aeroporto Chambery, Chambery, França
Aeroporto Intl. Corumba, Corumbá, Brasil
Aeroporto Port Columbus Intl, Columbus, Estados Unidos
Aeroporto University Of Illinois Willard, Champaign, Estados Unidos
Aeroporto Club Makokola, Makokola, Malauí
Aeroporto Camooweal, Camooweal, Austrália
Aeroporto Mohamed V, Casablanca, Marrocos
Aeroporto Obbia, Obbia, Somália
Aeroporto Clermont, Clermont, Austrália
Aeroporto Colmar-houssen, Colmar, França
Aeroporto Scusciuban, Scusciuban, Somália
Aeroporto Chimbu, Chimbu / Kundiawa, Papua-Nova Guiné
Aeroporto Coromandel, Coromandel, Nova Zelândia
Aeroporto Camaguey, Camaguey, Cuba
Aeroporto Houghton County, Hancock, Estados Unidos
Aeroporto Coonamble, Coonamble, Austrália
Aeroporto Coconut Island, Coconut Island, Austrália
Aeroporto Kogalniceanu, Constanta, Roménia
Aeroporto Internacional Tancredo Neves/Confins, Belo Horizonte, Brasil
Aeroporto Parvaud, Cognac, França
Aeroporto Cloncurry, Cloncurry, Austrália
Aeroporto Sindal, Sindal, Dinamarca
Aeroporto Carlsbad, Carlsbad, Estados Unidos
Aeroporto Chulman, Connaught, Rússia
Aeroporto Neerlerit Inaat, East Greenland, Groenlândia
Aeroporto Camba Punta, Corrientes, Argentina
Aeroporto Cairns, Cairns, Austrália
Aeroporto Internacional Chiang Mai, Chiang Mai, Tailândia
Aeroporto Canyonlands Field, Moab, Estados Unidos
Aeroporto Cangamba, Cangamba, Angola
Coaraci, Bahia, Brasil
Coacotla, Veracruz-Llave, México
Coacalco, México, México
Coatepeque, Quetzaltenango, Guatemala
Coatepec, Veracruz-Llave, México
Coatzacoalcos, Veracruz-Llave, México
Gold Coast, Queensland, Austrália
Coatzintla, Veracruz-Llave, México
Cobija, Pando, Bolívia
Cobar, Nova Gales do Sul, Austrália
El Cobre, Santiago de Cuba, Cuba
San Antonio de los Cobres, Salta, Argentina
Coban, Alta Verapaz, Guatemala
Barrancas del Cobre, Chihuahua, México
Cobo, Buenos Aires, Argentina
Cochabamba, Cochabamba, Bolívia
Coco, Guanacaste, Costa Rica
Coca, Azuay, Equador
Cocle, Panamá
Ilha de Coche, Venezuela
Cocoa, Flórida, Estados Unidos
Cocoa Beach, Flórida, Estados Unidos
Cocal, Piauí, Brasil
Codó, Maranhão, Brasil
Codazzi, Cesar, Colômbia
Codihué, Neuquén, Argentina
Cody, Wyoming, Estados Unidos
Coelho Neto, Maranhão, Brasil
Creve Coeur, Missouri, Estados Unidos
Coen, Austrália
Coeur dAlene, Idaho, Estados Unidos
Coffman Cove, Alasca, Estados Unidos
Coffs Harbour, Nova Gales do Sul, Austrália
Coffee Point, Alasca, Estados Unidos
Cognac, Poitou-Charentes, França
Aeroporto Cooch Behar, Cooch Behar, Índia
Conceicao do Coite, Bahia, Brasil
Coimbatore, Tamil Nadu, Índia
Coimbra, Coimbra, Portugal
Arganil, Coimbra, Portugal
Cojimar, La Habana, Cuba
Aeroporto Internacional Cochin, Cochin, Índia
Colonia del Sacramento, Colonia, Uruguai
San Andrés, Providencia y Santa Catalina, Archipiélago de San Andrés, Colômbia
Colônia, Land Nordrhein-Westfalen, Alemanha
Bogota, Bogotá D.C., Colômbia
Colmar, Alsácia, França
Colón, Colón, Panamá
Cartagena de Indias, Bolívar, Colômbia
Columbus, Ohio, Estados Unidos
Madrid, Comunidad de Madrid, Espanha
Como, Lombardia, Itália
Ilha Comprida, São Paulo, Brasil
Valência, Comunidade Valenciana, Espanha
Santiago de Compostela, A Galiza, Espanha
Alicante, Comunidade Valenciana, Espanha
Ilha de Comandatuba, Bahia, Brasil
Monte Carlo, Commune de Monaco, Mônaco
Vitória da Conquista, Bahia, Brasil
Conservatória, Rio de Janeiro, Brasil
Congonhas, Minas Gerais, Brasil
Conceicao do Araguaia, Pará, Brasil
Contagem, Minas Gerais, Brasil
Conceicao da barra, Espírito Santo, Brasil
Conselheiro Lafaiete, Minas Gerais, Brasil
Conde, Paraíba, Brasil
Cooma, Nova Gales do Sul, Austrália
Mc Cook, Nebrasca, Estados Unidos
Cooktown, Austrália
Coolibah, Austrália
Aitutaki, Ilhas Cook
Cooinda, Austrália
Coolah, Nova Gales do Sul, Austrália
Bella Coola, Canadá
Copan, Honduras
Copiapo, Atacama, Chile
Coppermine, Canadá
Copacabana, La Paz, Bolívia
Santa Rosa de Copan, Copan, Honduras
Copacabana, Catamarca, Argentina
Copenhague, Region Hovedstaden, Dinamarca
Copahue, Neuquén, Argentina
Barra dos Coqueiros, Sergipe, Brasil
Coquimbo, Coquimbo, Chile
Coqueiral, Minas Gerais, Brasil
Ovalle, Coquimbo, Chile
Coqueiro Seco, Alagoas, Brasil
Andacollo, Coquimbo, Chile
Coquimbito, Mendoza, Argentina
La Serena, Coquimbo, Chile
Luis Correia, Piauí, Brasil
Córdoba, Córdoba, Argentina
São Jose da Coroa Grande, Pernambuco, Brasil
Três Corações, Minas Gerais, Brasil
Córdova, Andaluzia, Espanha
Cornelio Procópio, Parana, Brasil
Cork, Munster, Irlanda
Corumbá, Mato Grosso do Sul, Brasil
Cosmopolis, São Paulo, Brasil
São Jose, San Jose, Costa Rica
Jacó, Puntarenas, Costa Rica
Tamarindo, Guanacaste, Costa Rica
Marselha, Provence-Alpes-Côte d'Azur, França
Costa do Sauípe, Bahia, Brasil
Monteverde, Puntarenas, Costa Rica
Nice, Provence-Alpes-Côte d'Azur, França
Nice, Provence-Alpes-Côte d'Azur, França
Avinhão, Provence-Alpes-Côte d'Azur, França
Cannes, Provence-Alpes-Côte d'Azur, França
Cotonou, Littoral, Benim
Cotulla, Texas, Estados Unidos
Cotia, São Paulo, Brasil
Cotita, La Pampa, Argentina
Marselha, Provence-Alpes-Côte d'Azur, França
Courbevoie, Ile-de-France, França
Talim, Harjumaa, Estónia
Bilbau, Euskal Autonomia Erkidegoa, Espanha
Cournon, Bretanha, França
Courcheval, França
São Sebastião, Euskal Autonomia Erkidegoa, Espanha
Gotemburgo, Vaestra Goetalands Laen, Suécia
Council, Alasca, Estados Unidos
Covilha, Castelo Branco, Portugal
Barlett Cove, Alasca, Estados Unidos
Lords Cove, Nova Brunswick, Canadá
Ringi Cove, Ilhas Salomão
Whale Cove, Canadá
Covenas, Sucre, Colômbia
Craig Cove, Vanuatu
Covunco, Neuquén, Argentina
Cowley, Canadá
Cowarie, Austrália
Cowes, Inglaterra, Reino Unido
Cowra, Nova Gales do Sul, Austrália
Cowell, South Australia, Austrália
Coxilha, Rio Grande do Sul, Brasil
Coxim, Mato Grosso do Sul, Brasil
Coxs Bazar, Chittagong, Bangladesh
Coyoacan, México D.F., México
Coyhaique, Aysén, Chile
Coyoles, Yoro, Honduras
Coyuca de Benitez, Guerrero, México
Coyote, Nuevo León, México
Coyotepec, México, México
Cozumel, Quintana Roo, México
Aeroporto A. Tubman, Cape Palmas, Libéria
Aeroporto Chapelco, San Martin de los Andes, Argentina
Aeroporto Coober Pedy, Coober Pedy, Austrália
Aeroporto Internacional Campeche, Campeche, México
Aeroporto Cepu, Cepu, Indonésia
Aeroporto Kastrup, Copenhague, Dinamarca
Aeroporto Cape Rodney, Cape Rodney, Papua-Nova Guiné
Aeropuerto Desierto de Atacama, Copiapo, Chile
Aeroporto Internacional Natrona County, Casper, Estados Unidos
Aeroporto St. Louis Downtown, Bi State Park, Estados Unidos
Aeroporto Internacional Cape Town, Cidade do Cabo, África do Sul
Aeroporto Joao Suassuna, Campina Grande, Brasil
Aeroporto Calais, Calais, França
Aeroporto Cape Flattery, Cape Flattery, Austrália
Cracóvia, Pequena Polónia, Polónia
Craig, Alasca, Estados Unidos
Cravinhos, São Paulo, Brasil
Craig, Colorado, Estados Unidos
Crane, Texas, Estados Unidos
Craiova, Dolj, Roménia
Crato, Ceará, Brasil
Crateus, Ceará, Brasil
Aeroporto Collarenebri, Collarenebri, Austrália
Aeroporto Cartago, Cartago, Colômbia
Aeroporto Comodoro Rivadavia, Comodoro Rivadavia, Argentina
Chania, Crete, Grécia
Creston, Iowa, Estados Unidos
Big Creek, Stann Creek, Belize
Crespo, Entre Rios, Argentina
Cremona, Lombardia, Itália
Doc Creek, Canadá
Creel, Chihuahua, México
St.-Crepin, França
Aeroporto Carnot, Carnot, República Centro-Africana
Aeroporto Cherribah, Cherribah, Austrália
Criciúma, Santa Catarina, Brasil
La Criolla, Entre Rios, Argentina
Cristalina, Goiás, Brasil
San Cristobal, Equador
Isla Cristina, Andaluzia, Espanha
La Criolla, Santa Fe, Argentina
Cristianopolis, Goiás, Brasil
Cristina, Minas Gerais, Brasil
Aeroporto Coorabie, Coorabie, Austrália
Aeroporto Internacional Diosdado Macapagal (Clark ), Luzon, Filipinas
Aeroporto Charleroi Brussels South, Bruxelas, Bélgica
Aeroporto National, Catarman, Filipinas
Aeroporto Cromarty, Cromarty, Reino Unido
Split, Splitsko-Dalmatinska Zupanija, Croácia
Zagrebe, Grad Zagreb, Croácia
Dubrovnik, Dubrovacko-Neretvanska Zupanija, Croácia
Zadar, Zadarska Zupanija, Croácia
Old Crow, Canadá
Crotone, Itália
Crowley, Texas, Estados Unidos
Crowley, Louisiana, Estados Unidos
Aeroporto Internacional Corpus Christi, Corpus Christi, Estados Unidos
Santa Cruz, Santa Cruz, Bolívia
Santa Cruz do Sul, Rio Grande do Sul, Brasil
Santa cruz , Libertador General Bernardo O'Higgins, Chile
El Calafate, Santa Cruz, Argentina
Santa Cruz, Califórnia, Estados Unidos
Mogi das Cruzes, São Paulo, Brasil
Santa Cruz de Cabrália, Bahia, Brasil
Cruzeiro, São Paulo, Brasil
Aeroporto Crotone, Crotone, Itália
Aeroporto Yeager, Charleston, Estados Unidos
Crystal Lake, Ilinóis, Estados Unidos
Aeroporto Turkmenabad, Charjeu, Turquemenistão
Aeroporto Isle Of Colonsay, Colonsay Island, Reino Unido
Aeroporto Caransebes, Caransebes, Roménia
Aeroporto Cresswell Downs, Cresswell Downs, Austrália
Aeroporto Columbus Metropolitan, Columbus, Estados Unidos
